Type,Model,error,epoch
training error,ompk35,0.4193548560142517,1
training error,ompk35,0.4193548560142517,2
training error,ompk35,0.4193548560142517,3
training error,ompk35,0.4193548560142517,4
training error,ompk35,0.4193548560142517,5
training error,ompk35,0.4193548560142517,6
training error,ompk35,0.4193548560142517,7
training error,ompk35,0.4193548560142517,8
training error,ompk35,0.4193548560142517,9
training error,ompk35,0.4193548560142517,10
training error,ompk35,0.4193548560142517,11
training error,ompk35,0.4193548560142517,12
training error,ompk35,0.4193548560142517,13
training error,ompk35,0.4193548560142517,14
training error,ompk35,0.4193548560142517,15
training error,ompk35,0.4193548560142517,16
training error,ompk35,0.4193548560142517,17
training error,ompk35,0.4193548560142517,18
training error,ompk35,0.4193548560142517,19
validation error,ompk35,0.43795621395111084,1
validation error,ompk35,0.43795621395111084,2
validation error,ompk35,0.43795621395111084,3
validation error,ompk35,0.43795621395111084,4
validation error,ompk35,0.43795621395111084,5
validation error,ompk35,0.43795621395111084,6
validation error,ompk35,0.43795621395111084,7
validation error,ompk35,0.43795621395111084,8
validation error,ompk35,0.43795621395111084,9
validation error,ompk35,0.43795621395111084,10
validation error,ompk35,0.43795621395111084,11
validation error,ompk35,0.43795621395111084,12
validation error,ompk35,0.43795621395111084,13
validation error,ompk35,0.43795621395111084,14
validation error,ompk35,0.43795621395111084,15
validation error,ompk35,0.43795621395111084,16
validation error,ompk35,0.43795621395111084,17
validation error,ompk35,0.43795621395111084,18
validation error,ompk35,0.43795621395111084,19
training error,ompk36,0.40776699781417847,1
training error,ompk36,0.40776699781417847,2
training error,ompk36,0.40776699781417847,3
training error,ompk36,0.40776699781417847,4
training error,ompk36,0.40776699781417847,5
training error,ompk36,0.40776699781417847,6
training error,ompk36,0.40776699781417847,7
training error,ompk36,0.40776699781417847,8
training error,ompk36,0.40776699781417847,9
training error,ompk36,0.40776699781417847,10
training error,ompk36,0.40776699781417847,11
training error,ompk36,0.40776699781417847,12
training error,ompk36,0.40776699781417847,13
training error,ompk36,0.40776699781417847,14
training error,ompk36,0.40776699781417847,15
training error,ompk36,0.40776699781417847,16
training error,ompk36,0.40776699781417847,17
training error,ompk36,0.40776699781417847,18
training error,ompk36,0.40776699781417847,19
validation error,ompk36,0.47815531492233276,1
validation error,ompk36,0.47815531492233276,2
validation error,ompk36,0.47815531492233276,3
validation error,ompk36,0.47815531492233276,4
validation error,ompk36,0.47815531492233276,5
validation error,ompk36,0.47815531492233276,6
validation error,ompk36,0.47815531492233276,7
validation error,ompk36,0.47815531492233276,8
validation error,ompk36,0.47815531492233276,9
validation error,ompk36,0.47815531492233276,10
validation error,ompk36,0.47815531492233276,11
validation error,ompk36,0.47815531492233276,12
validation error,ompk36,0.47815531492233276,13
validation error,ompk36,0.47815531492233276,14
validation error,ompk36,0.47815531492233276,15
validation error,ompk36,0.47815531492233276,16
validation error,ompk36,0.47815531492233276,17
validation error,ompk36,0.47815531492233276,18
validation error,ompk36,0.47815531492233276,19
training error,ompk37,0.43947654962539673,1
training error,ompk37,0.43947654962539673,2
training error,ompk37,0.43947654962539673,3
training error,ompk37,0.43947654962539673,4
training error,ompk37,0.43947654962539673,5
training error,ompk37,0.43947654962539673,6
training error,ompk37,0.43947654962539673,7
training error,ompk37,0.43947654962539673,8
training error,ompk37,0.43947654962539673,9
