,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.16219515800476075,0.002181819619824473,0.020450830459594727,0.0003491561580425185,1,1,2,1337,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 1337}",0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.4632653061224491,0.004998958658741185,1
1,0.16169774532318115,0.001763760630821973,0.020699739456176758,0.0006400487323261116,1,1,15,1337,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 15, 'random_state': 1337}",0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.4632653061224491,0.004998958658741185,1
2,0.16554458141326905,0.003028486648698209,0.020350098609924316,0.0008080380905348745,1,10,2,1337,"{'max_depth': 1, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 1337}",0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.4632653061224491,0.004998958658741185,1
3,0.16624894142150878,0.004604993803245168,0.020050191879272462,0.0004149693444104981,1,10,15,1337,"{'max_depth': 1, 'min_samples_leaf': 10, 'min_samples_split': 15, 'random_state': 1337}",0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.45918367346938777,0.4632653061224491,0.004998958658741185,1
4,0.5854959964752198,0.03275010857065986,0.022300100326538085,0.000510007136019792,15,1,2,1337,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 1337}",0.41836734693877553,0.43877551020408156,0.43877551020408156,0.47959183673469385,0.42857142857142855,0.47959183673469385,0.40816326530612246,0.4489795918367347,0.3979591836734694,0.3877551020408163,0.4326530612244898,0.029644569482314174,11
5,0.3993458032608032,0.03107652755664596,0.021650147438049317,0.00039043623423976645,15,1,15,1337,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 15, 'random_state': 1337}",0.40816326530612246,0.4489795918367347,0.45918367346938777,0.4897959183673469,0.46938775510204084,0.47959183673469385,0.42857142857142855,0.42857142857142855,0.41836734693877553,0.3979591836734694,0.4428571428571429,0.02964456948231418,9
6,0.22724504470825196,0.00958466563164655,0.020650482177734374,0.0004503441478956526,15,10,2,1337,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 1337}",0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.45918367346938777,0.4489795918367347,0.41836734693877553,0.4489795918367347,0.45918367346938777,0.45816326530612245,0.01544157750043016,5
7,0.23489670753479003,0.013507757277682525,0.021348977088928224,0.0012851030945384158,15,10,15,1337,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 15, 'random_state': 1337}",0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.45918367346938777,0.4489795918367347,0.41836734693877553,0.4489795918367347,0.45918367346938777,0.45816326530612245,0.01544157750043016,5
8,0.7869444131851197,0.05998151140028095,0.022749996185302733,0.0005123222419443664,,1,2,1337,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 1337}",0.42857142857142855,0.3979591836734694,0.45918367346938777,0.4897959183673469,0.43877551020408156,0.45918367346938777,0.3979591836734694,0.40816326530612246,0.40816326530612246,0.40816326530612246,0.4295918367346939,0.029732249559864213,12
9,0.520046877861023,0.030735383692597457,0.022699809074401854,0.0008426475331837206,,1,15,1337,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'random_state': 1337}",0.42857142857142855,0.41836734693877553,0.45918367346938777,0.47959183673469385,0.4897959183673469,0.43877551020408156,0.42857142857142855,0.3877551020408163,0.40816326530612246,0.43877551020408156,0.43775510204081625,0.029732249559864213,10
10,0.24619641304016113,0.015523977473440692,0.022800755500793458,0.00443939499120296,,10,2,1337,"{'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 1337}",0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.45918367346938777,0.4489795918367347,0.41836734693877553,0.4489795918367347,0.45918367346938777,0.45816326530612245,0.01544157750043016,5
11,0.23304660320281984,0.013648112066911989,0.020949745178222658,0.0008500697748707041,,10,15,1337,"{'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 15, 'random_state': 1337}",0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.45918367346938777,0.4489795918367347,0.41836734693877553,0.4489795918367347,0.45918367346938777,0.45816326530612245,0.01544157750043016,5
