,Kmer,Importance
914,f310124,1
913,f270772,1
911,f240,1
910,f322163,1
909,f345910,1
908,f184579,1
907,f400729,1
906,f28454,1
902,f238161,1
901,f119,1
900,f66168,1
899,f143462,1
897,f384073,1
896,f162008,1
895,f290227,1
928,f41433,1
929,f100162,1
931,f376,1
946,f9196,1
958,f326265,1
957,f56,1
956,f263876,1
955,f439715,1
954,f3649,1
953,f501752,1
952,f239982,1
951,f437885,1
950,f346603,1
949,f112360,1
948,f482940,1
947,f175780,1
945,f14556,1
932,f323,1
944,f72560,1
943,f149267,1
942,f1413,1
941,f786,1
940,f22964,1
939,f142031,1
938,f95391,1
937,f232262,1
936,f221766,1
935,f142429,1
934,f386876,1
933,f382704,1
1024,f87422,1
1027,f360959,1
620,f182901,1
1129,f46664,1
1127,f384913,1
1126,f291761,1
1125,f43,1
1124,f203,1
1122,f315426,1
1121,f52227,1
1120,f355455,1
1119,f456358,1
1118,f70044,1
1117,f444500,1
1115,f415161,1
1114,f273210,1
1113,f80346,1
1112,f149,1
1111,f224586,1
1110,f452785,1
1109,f391512,1
1108,f60437,1
1107,f2576,1
1106,f11338,1
1104,f427020,1
1103,f344449,1
1102,f92823,1
1101,f464822,1
1100,f123349,1
1099,f398751,1
1098,f388744,1
1128,f524653,1
1130,f111,1
1028,f2136,1
1131,f176758,1
1161,f72698,1
1160,f7656,1
1159,f67894,1
1158,f484155,1
1157,f173361,1
1156,f176309,1
1155,f278978,1
1154,f69296,1
1153,f289913,1
1152,f26758,1
1151,f399396,1
1150,f110900,1
1149,f451,1
1148,f172226,1
1146,f315355,1
1145,f170958,1
1143,f479747,1
1142,f56265,1
1141,f61491,1
1140,f291513,1
1139,f289429,1
1138,f95483,1
1137,f63190,1
1136,f40361,1
1135,f105165,1
1133,f493274,1
1132,f55892,1
1097,f14903,1
1096,f40366,1
1095,f379580,1
1094,f483168,1
1056,f398612,1
1055,f434778,1
1054,f111975,1
1053,f258849,1
1052,f142208,1
1051,f456,1
1050,f246710,1
1049,f12885,1
1048,f345037,1
1047,f76908,1
1046,f435023,1
1045,f12073,1
1044,f335988,1
1043,f28491,1
1041,f153365,1
1040,f511046,1
1039,f444730,1
1038,f494942,1
1037,f348665,1
1036,f182712,1
1035,f297454,1
1034,f515524,1
1033,f405200,1
1032,f26000,1
1031,f29353,1
1030,f77340,1
1029,f467394,1
1057,f90545,1
1059,f34311,1
1060,f62755,1
1076,f257451,1
1092,f140672,1
1088,f51551,1
1087,f87524,1
1086,f491328,1
1085,f93803,1
1084,f39657,1
1083,f381001,1
1082,f482127,1
1080,f56777,1
1079,f26428,1
1078,f267353,1
1077,f367266,1
1075,f209558,1
1061,f47533,1
1074,f267661,1
1072,f349181,1
1071,f5812,1
1070,f434505,1
1069,f28139,1
1068,f63129,1
1067,f281617,1
1066,f493881,1
1065,f172964,1
1064,f467398,1
1063,f78809,1
1062,f459834,1
894,f347145,1
893,f22672,1
892,f344535,1
722,f81187,1
720,f220146,1
719,f438805,1
718,f492627,1
717,f74858,1
716,f199820,1
715,f265508,1
714,f180112,1
713,f423641,1
712,f431228,1
711,f72763,1
710,f64742,1
709,f354176,1
708,f217077,1
707,f423716,1
706,f400509,1
705,f300180,1
704,f190474,1
703,f495931,1
702,f258351,1
700,f155708,1
699,f179062,1
698,f315898,1
696,f407042,1
694,f522667,1
693,f447607,1
692,f508746,1
690,f521517,1
721,f506690,1
723,f498117,1
891,f467024,1
725,f460144,1
755,f165255,1
754,f226996,1
753,f414239,1
752,f151302,1
751,f153811,1
750,f57121,1
749,f397398,1
748,f251530,1
746,f517721,1
744,f274127,1
743,f185565,1
742,f471872,1
741,f57258,1
740,f288839,1
739,f46508,1
738,f481571,1
737,f480204,1
736,f2401,1
735,f123561,1
734,f164790,1
733,f204441,1
732,f14606,1
731,f480120,1
729,f230928,1
728,f107453,1
727,f256889,1
726,f237605,1
689,f245781,1
688,f435246,1
687,f4029,1
686,f95649,1
650,f314945,1
649,f201814,1
648,f144582,1
647,f139985,1
646,f2535,1
644,f169424,1
642,f205939,1
641,f524504,1
640,f186247,1
639,f306048,1
638,f101739,1
637,f403218,1
636,f148778,1
635,f227139,1
634,f131070,1
633,f107638,1
632,f504994,1
631,f312156,1
629,f1145,1
628,f154118,1
627,f193454,1
626,f373530,1
625,f118322,1
624,f24941,1
623,f398497,1
622,f416882,1
621,f325365,1
651,f358888,1
652,f380749,1
653,f76,1
670,f168959,1
685,f2706,1
684,f26473,1
683,f45611,1
681,f249345,1
680,f88170,1
679,f451558,1
678,f90709,1
677,f334631,1
675,f41476,1
674,f12791,1
673,f298616,1
672,f4128,1
669,f88855,1
654,f450633,1
668,f322169,1
667,f9989,1
666,f479160,1
665,f106713,1
664,f509124,1
663,f20972,1
662,f299484,1
659,f320343,1
658,f575,1
657,f10790,1
656,f1685,1
655,f429030,1
756,f413975,1
757,f78,1
758,f326625,1
828,f72540,1
857,f289386,1
856,f168114,1
855,f418150,1
854,f484856,1
853,f128,1
852,f103256,1
851,f16651,1
850,f495015,1
849,f449258,1
848,f1017,1
847,f280890,1
846,f288800,1
845,f199,1
843,f295038,1
842,f74828,1
841,f331241,1
840,f58737,1
839,f253884,1
838,f521461,1
837,f450718,1
836,f9845,1
835,f448568,1
834,f236904,1
833,f64295,1
832,f360961,1
831,f39021,1
830,f270672,1
858,f507698,1
859,f1013,1
860,f54557,1
875,f13982,1
890,f269033,1
887,f302864,1
886,f401667,1
885,f343690,1
884,f353796,1
883,f204438,1
881,f211986,1
880,f463741,1
879,f487638,1
878,f253863,1
877,f81212,1
876,f452052,1
874,f508952,1
861,f38547,1
873,f476262,1
872,f334690,1
871,f414245,1
870,f62769,1
869,f240176,1
868,f198403,1
867,f227299,1
866,f48832,1
865,f478010,1
864,f223303,1
863,f315450,1
862,f459321,1
829,f457710,1
827,f1544,1
759,f449066,1
826,f410560,1
793,f68606,1
792,f378818,1
791,f15745,1
789,f287019,1
788,f150052,1
787,f238956,1
786,f520044,1
785,f25185,1
784,f314756,1
783,f148540,1
782,f8412,1
781,f146327,1
780,f175369,1
778,f281428,1
777,f199557,1
776,f506138,1
771,f362437,1
769,f101737,1
768,f318665,1
767,f363370,1
766,f133178,1
765,f163156,1
764,f13385,1
763,f210875,1
762,f36143,1
761,f342495,1
760,f410374,1
794,f41029,1
795,f446463,1
796,f343293,1
812,f109364,1
825,f8497,1
824,f98600,1
823,f104747,1
822,f81998,1
821,f128038,1
819,f203898,1
818,f39932,1
817,f471289,1
816,f25,1
815,f219306,1
814,f158665,1
813,f109670,1
811,f383849,1
797,f332759,1
810,f16004,1
809,f522739,1
808,f34690,1
807,f25122,1
806,f442938,1
805,f408528,1
803,f495552,1
802,f283765,1
801,f101611,1
800,f385316,1
799,f1721,1
798,f164,1
2146,f1897,1
