,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std,train-f1-mean,train-f1-std,test-f1-mean,test-f1-std
0,2.1846325999999996,0.0004463297435753144,2.1850874,0.001036895867481334,0.3902046,0.01777119885207524,0.3823324,0.042957265697900274
1,2.1723679999999996,0.000883001019251999,2.1733000000000002,0.0020752870644804625,0.3902046,0.01777119885207524,0.3823324,0.042957265697900274
2,2.1604226,0.001303861127574642,2.1618378,0.0030750329038890726,0.39026039999999995,0.016911165372025666,0.3813022,0.04230790937118022
3,2.1487810000000005,0.0017104505839105806,2.1506537999999997,0.004060929322211857,0.39026039999999995,0.016911165372025666,0.3813022,0.04230790937118022
4,2.1374288,0.0021032551343096915,2.1397278,0.004962062450231774,0.3910262,0.018305446865892142,0.38047480000000006,0.04394490875357462
5,2.1263543999999994,0.0024832169941429354,2.1290976,0.00582814847442986,0.3910262,0.018305446865892142,0.38047480000000006,0.04394490875357462
6,2.1155458000000005,0.0028508439031275784,2.1186978,0.006689817797219924,0.3910262,0.018305446865892142,0.38047480000000006,0.04394490875357462
7,2.1049864,0.003204215885361044,2.1085876,0.007582555759109256,0.3910262,0.018305446865892142,0.38047480000000006,0.04394490875357462
8,2.0946697999999997,0.003545823086393351,2.0986902,0.00839711953946117,0.3910262,0.018305446865892142,0.38047480000000006,0.04394490875357462
9,2.0845878000000004,0.003877236717044743,2.0890168000000005,0.00920084077462491,0.3910262,0.018305446865892142,0.38047480000000006,0.04394490875357462
