,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std,train-f1-mean,train-f1-std,test-f1-mean,test-f1-std
0,2.5479084,0.00030853758279989564,2.5487476,0.0006324348503995835,0.37484660000000003,0.006746833941931567,0.35260919999999996,0.02021532500258158
1,2.5314186,0.0005916237317755911,2.5331028000000004,0.0012892260313847592,0.37573660000000003,0.006349511748158277,0.35316519999999996,0.020686122076406684
2,2.5155092,0.0008873992111784379,2.5180378,0.0018609674258298714,0.37750880000000003,0.004871227910907066,0.353673,0.021146616864170024
3,2.5001308,0.0011696347122071163,2.5035178,0.002402000782681011,0.37732400000000005,0.005239767246739109,0.35391059999999996,0.021378524865855463
4,2.4852198,0.0014045506612436283,2.489398,0.003001322575132408,0.3781962,0.0055481870696651794,0.353673,0.021146616864170024
5,2.4707916,0.0016526403843546656,2.4757916,0.003509342479724619,0.3776634,0.005998056838677009,0.35391059999999996,0.021378524865855463
6,2.4567392,0.001854232283183527,2.4625198,0.004048052687404194,0.3776216,0.005970207085185573,0.35391059999999996,0.021378524865855463
7,2.4431301999999997,0.002073844295023082,2.4497264000000003,0.004547500834524364,0.37764980000000004,0.0059888818121582605,0.35391059999999996,0.021378524865855463
8,2.4298618000000003,0.0023238445214773056,2.4372062000000003,0.005026239882854815,0.37764980000000004,0.0059888818121582605,0.35391059999999996,0.021378524865855463
9,2.4169812,0.0025833151878933234,2.4251076,0.0054421618351534464,0.3774342,0.005858400238973092,0.35391059999999996,0.021378524865855463
