,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std,train-f1-mean,train-f1-std,test-f1-mean,test-f1-std
0,2.8015178,0.0006279026676166217,2.8017906,0.0009267374169632821,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
1,2.7715308,0.0012073798739418694,2.7720682,0.0018190625497766994,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
2,2.7430778,0.001748031166770122,2.7438765999999997,0.0026802103350297424,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
3,2.7160178000000004,0.0022511456994162436,2.7170788000000003,0.0035237997899994055,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
4,2.6902226,0.0027208876198770776,2.6915352,0.004327870765168371,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
5,2.6655842,0.003163312782511549,2.6671141999999994,0.005131078810542716,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
6,2.6420108,0.003577608217790155,2.6437584000000003,0.0058891757861351925,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
7,2.6194134,0.003968160863674818,2.6213968,0.006639708258651115,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
8,2.5977232,0.0043379279108809515,2.5999064,0.007376520171462916,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
9,2.5768716,0.0046887566198299865,2.5792714,0.00807956725573841,0.48505560000000003,0.008023610598726728,0.4812596,0.028788856125938737
