,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std,train-f1-mean,train-f1-std,test-f1-mean,test-f1-std
0,2.6200692000000005,0.0006802850578985231,2.6205132,0.0010888063923398513,0.3874574,0.010081559018326467,0.3761118,0.04506941225887021
1,2.6018326,0.0013212155917940878,2.6027144,0.00214737128601463,0.3874574,0.010081559018326467,0.3761118,0.04506941225887021
2,2.5842959999999997,0.0019256226006151625,2.5856009999999996,0.0031761105774201596,0.3870712,0.010265586829792039,0.376048,0.045069156601826935
3,2.5674106,0.0024967368784075505,2.5691265999999997,0.004170756698729847,0.3870712,0.010265586829792039,0.376048,0.045069156601826935
4,2.5511316,0.0030387916414258594,2.5532559999999997,0.005146187598601512,0.3870712,0.010265586829792039,0.376048,0.045069156601826935
5,2.5354196,0.0035511394002489577,2.5379484,0.006098807214529674,0.3870712,0.010265586829792039,0.376048,0.045069156601826935
6,2.5202386,0.004040094137517174,2.523165,0.007028217981821678,0.3870712,0.010265586829792039,0.376048,0.045069156601826935
7,2.505556,0.004505267849973,2.5088679999999997,0.00792580607887925,0.3870712,0.010265586829792039,0.376048,0.045069156601826935
8,2.4913429999999996,0.004949143966384561,2.4950409999999996,0.008809392760003336,0.38707020000000003,0.01026513309022342,0.376048,0.045069156601826935
9,2.4775734,0.005372329535685694,2.4816510000000003,0.009672171876057588,0.38707020000000003,0.01026513309022342,0.376048,0.045069156601826935
