,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std,train-f1-mean,train-f1-std,test-f1-mean,test-f1-std
0,2.4414096,0.0003155899871668192,2.441574,0.0004584312380280176,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
1,2.4001517999999997,0.0006086142949355631,2.4004774,0.000904206082704697,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
2,2.3609136,0.0008803716487938132,2.361396,0.001335521321432184,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
3,2.323514,0.0011365069291473533,2.324149,0.0017550133902622693,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
4,2.2877924,0.001379112265190975,2.2885872,0.002141077803350442,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
5,2.2536086,0.0016057691739475091,2.2545484,0.002538167260051914,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
6,2.2208416,0.0018217759027938563,2.221938,0.0029043682273431058,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
7,2.1893814000000003,0.0020265914832545855,2.1906261999999996,0.0032592334927094954,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
8,2.1591344,0.0022224945084297148,2.1604885999999994,0.003654872889718679,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
9,2.1300104,0.002405825313691714,2.1314970000000004,0.004014985728492715,0.8012025999999999,0.0042278878225421234,0.8012432,0.016891901342359305
